ticker,date,period_ending,estimate,reported,surprise,surprise%
SIX,02-MAR-23,Dec 2022,0.23,0.32,0.09,39.13
SJM,28-FEB-23,Jan 2023,2.13,2.21,0.08,3.76
SJW,22-FEB-23,Dec 2022,1.03,1.09,0.06,5.83
SKT,21-FEB-23,Dec 2022,0.45,0.17,-0.28,-62.22
SKX,02-FEB-23,Dec 2022,0.38,0.48,0.1,26.32
SKY,06-FEB-23,Dec 2022,0.97,1.44,0.47,48.45
SLAB,01-FEB-23,Dec 2022,0.97,1.31,0.34,35.05
SLB,20-JAN-23,Dec 2022,0.69,0.71,0.02,2.9
SLG,25-JAN-23,Dec 2022,1.48,-1.01,-2.49,-168.24
SLGN,24-JAN-23,Dec 2022,0.81,0.84,0.03,3.7
SLM,01-FEB-23,Dec 2022,0.46,-0.33,-0.79,-171.74
SLP,04-JAN-23,Nov 2022,0.12,0.06,-0.06,-50.0
SM,22-FEB-23,Dec 2022,1.21,1.29,0.08,6.61
SMAR,14-MAR-23,Jan 2023,-0.01,0.07,0.08,800.0
SMBC,30-JAN-23,Dec 2022,1.33,1.26,-0.07,-5.26
SMBK,23-JAN-23,Dec 2022,0.76,0.76,0.0,0.0
SMCI,31-JAN-23,Dec 2022,3.15,3.26,0.11,3.49
SMG,01-FEB-23,Dec 2022,-1.4,-1.02,0.38,27.14
SMMF,26-JAN-23,Dec 2022,1.19,1.16,-0.03,-2.52
SMP,22-FEB-23,Dec 2022,0.52,0.69,0.17,32.69
SMPL,05-JAN-23,Nov 2022,0.41,0.4,-0.01,-2.44
SMRT,08-MAR-23,Dec 2022,-0.09,-0.09,0.0,0.0
SMTC,29-MAR-23,Jan 2023,0.48,0.47,-0.01,-2.08
SNA,02-FEB-23,Dec 2022,4.09,4.42,0.33,8.07
SNBR,22-FEB-23,Dec 2022,-0.21,-0.24,-0.03,-14.29
SNDR,02-FEB-23,Dec 2022,0.61,0.64,0.03,4.92
SNDX,28-FEB-23,Dec 2022,-0.64,-0.62,0.02,3.13
SNEX,07-FEB-23,Dec 2022,2.13,2.58,0.45,21.13
SNOW,01-MAR-23,Jan 2023,0.03,0.14,0.11,366.67
SNPS,15-FEB-23,Jan 2023,2.5,2.62,0.12,4.8
SNV,18-JAN-23,Dec 2022,1.37,1.35,-0.02,-1.46
SNX,10-JAN-23,Nov 2022,2.92,3.3,0.38,13.01
SO,16-FEB-23,Dec 2022,0.24,0.26,0.02,8.33
SOI,22-FEB-23,Dec 2022,0.19,0.22,0.03,15.79
SON,08-FEB-23,Dec 2022,1.26,1.27,0.01,0.79
SONO,08-FEB-23,Dec 2022,0.33,0.57,0.24,72.73
SP,22-FEB-23,Dec 2022,0.73,0.56,-0.17,-23.29
SPB,10-FEB-23,Dec 2022,-0.14,-0.32,-0.18,-128.57
SPCE,28-FEB-23,Dec 2022,-0.54,-0.55,-0.01,-1.85
SPFI,26-JAN-23,Dec 2022,0.62,0.71,0.09,14.52
SPG,06-FEB-23,Dec 2022,3.14,2.06,-1.08,-34.39
SPGI,09-FEB-23,Dec 2022,2.47,2.54,0.07,2.83
